what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1408008610244
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1408008610245
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1408008610246
started,bundle,beaver,3.0.0.1346444146,"beaver",1408008610246
started,bundle,com.aptana.core,3.3.0.1363999525,"com.aptana.core",1408008610246
started,bundle,com.aptana.core.epl,3.0.0.1344341997,"com.aptana.core.epl",1408008610246
started,bundle,com.aptana.core.io,3.0.3.1363999525,"com.aptana.core.io",1408008610246
started,bundle,com.aptana.deploy.ui,1.0.0.1354838688,"com.aptana.deploy.ui",1408008610246
started,bundle,com.aptana.editor.epl,3.0.0.1363886503,"com.aptana.editor.epl",1408008610246
started,bundle,com.aptana.editor.php.epl,3.3.0.1358460206,"com.aptana.editor.php.epl",1408008610246
started,bundle,com.aptana.explorer,3.0.0.1351865743,"com.aptana.explorer",1408008610246
started,bundle,com.aptana.filewatcher,3.0.1.1337406272,"com.aptana.filewatcher",1408008610247
started,bundle,com.aptana.git.core,3.0.0.1363999525,"com.aptana.git.core",1408008610247
started,bundle,com.aptana.git.ui,3.0.3.1360356384,"com.aptana.git.ui",1408008610247
started,bundle,com.aptana.portal.ui,3.0.0.1360957303,"com.aptana.portal.ui",1408008610247
started,bundle,com.aptana.scripting,3.0.0.1363999525,"com.aptana.scripting",1408008610247
started,bundle,com.aptana.scripting.ui,3.0.0.1363994809,"com.aptana.scripting.ui",1408008610247
started,bundle,com.aptana.shared_core,2.7.0.2013032300,"com.aptana.shared_core",1408008610247
started,bundle,com.aptana.syncing.core,3.0.0.1355716199,"com.aptana.syncing.core",1408008610247
started,bundle,com.aptana.syncing.ui,3.0.3.1359508431,"com.aptana.syncing.ui",1408008610247
started,bundle,com.aptana.theme,3.0.0.1363630770,"com.aptana.theme",1408008610247
started,bundle,com.aptana.ui,3.1.4.1364002461,"com.aptana.ui",1408008610247
started,bundle,com.aptana.ui.io,3.0.0.1363385818,"com.aptana.ui.io",1408008610247
started,bundle,com.aptana.usage,3.0.0.1365900908,"com.aptana.usage",1408008610247
started,bundle,com.collabnet.subversion.merge,3.0.12,"com.collabnet.subversion.merge",1408008610247
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1408008610247
started,bundle,com.python.pydev.analysis,2.7.0.2013032300,"com.python.pydev.analysis",1408008610247
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1408008610248
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1408008610248
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1408008610248
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1408008610248
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1408008610248
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1408008610248
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1408008610249
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1408008610249
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1408008610249
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1408008610249
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1408008610249
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1408008610250
started,bundle,org.eclipse.egit.core,2.0.0.201206130900-r,"org.eclipse.egit.core",1408008610250
started,bundle,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui",1408008610250
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1408008610250
started,bundle,org.eclipse.emf.common.ui,2.6.0.v20100914-1218,"org.eclipse.emf.common.ui",1408008610250
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1408008610250
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1408008610250
started,bundle,org.eclipse.emf.edit,2.6.0.v20100914-1218,"org.eclipse.emf.edit",1408008610250
started,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1408008610250
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1408008610250
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1408008610250
